word,spell_band,spell_band_name,typical_window,read_band,word_type,pattern,spelling_expectation,picture_friendly,moviedu_priority,letter_count,ca_standards,sources,notes
ran,1,Start of year,Aug–Oct,1,both,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Conventional spelling is the K target: map each sound to a letter (L.K.2.d). End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
rat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sad,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sag,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sap,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tab,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tag,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tan,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tap,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
van,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
wag,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
yam,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
zap,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
a,1,Start of year,Aug–Oct,1,high-frequency,HFW-pre-primer,conventional-K,no,later,1,RF.K.3.c,Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
go,1,Start of year,Aug–Oct,1,high-frequency,HFW-pre-primer,conventional-K,yes,good-fit,2,RF.K.3.c,Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
I,1,Start of year,Aug–Oct,1,high-frequency,HFW-pre-primer,conventional-K,yes,good-fit,1,RF.K.3.c,Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
me,1,Start of year,Aug–Oct,1,high-frequency,HFW-pre-primer,conventional-K,yes,good-fit,2,RF.K.3.c,Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
my,1,Start of year,Aug–Oct,1,high-frequency,HFW-pre-primer,conventional-K,yes,good-fit,2,RF.K.3.c,Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
we,1,Start of year,Aug–Oct,1,high-frequency,HFW-pre-primer,conventional-K,yes,good-fit,2,RF.K.3.c,Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
no,1,Start of year,Aug–Oct,3,high-frequency,HFW-primer,conventional-K,yes,later,2,RF.K.3.c,Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
am,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,CVC/VC phonics sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings. End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
an,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,CVC/VC phonics sequence,Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings.
at,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,CVC/VC phonics sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings. End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
if,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,CVC/VC phonics sequence,Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings.
in,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,CVC/VC phonics sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings. California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
is,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,CVC/VC phonics sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings. California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
it,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,CVC/VC phonics sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings. California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
on,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,CVC/VC phonics sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings. End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
ox,1,Start of year,Aug–Oct,1,both,VC,conventional-K,yes,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,CVC/VC phonics sequence,Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings.
up,1,Start of year,Aug–Oct,1,both,VC,conventional-K,yes,good-fit,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,CVC/VC phonics sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings. California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
us,1,Start of year,Aug–Oct,1,both,VC,conventional-K,no,later,2,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,CVC/VC phonics sequence,Short two-letter words. RF.K.2.d focuses on three-phoneme CVC; these are still typical first encodings.
red,2,Late fall,Oct–Dec,2,both,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Short e is often the last short vowel in K. egg/bell add a doubled consonant. California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
bib,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
big,2,Late fall,Oct–Dec,2,both,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Conventional spelling is the K target: map each sound to a letter (L.K.2.d). California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
bin,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
bit,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
did,2,Late fall,Oct–Dec,2,both,CVC-short-i,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Conventional spelling is the K target: map each sound to a letter (L.K.2.d). End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
dig,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
dim,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
dip,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fig,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fin,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fit,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hid,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
him,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hip,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hit,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
kid,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
kit,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
lid,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
lip,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
lit,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
mix,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pig,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pin,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pit,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rib,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rid,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rim,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rip,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sip,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sit,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
six,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tin,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tip,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
wig,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
